alert_id,application,alert_timestamp,alert_type,severity,root_cause,resolution_steps,mean_time_to_detect,mean_time_to_resolve,escalated,resolved_by,change_implemented,post_resolution_status,text
ALERT-72190,BankingApp,19/05/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Scale up backend services,21,22,No,Automated System,Code Fix,Closed,19/05/2024 00:00 API Failure - 500 Error Surge Scale up backend services BankingApp Critical High API traffic exceeding rate limits Code Fix Closed
ALERT-90612,InventoryService,18/02/2025 00:00,Delayed Response Time,Medium,Slow database queries,Implement caching mechanisms,15,58,Yes,Automated System,Code Fix,Resolved,18/02/2025 00:00 Delayed Response Time Implement caching mechanisms InventoryService Medium Slow database queries Code Fix Resolved
ALERT-78827,BankingApp,19/06/2024 00:00,High CPU Usage,Medium,"Inefficient code (infinite loops, unoptimized queries)",Restart impacted services,12,95,No,Infrastructure Team,Code Fix,Closed,"19/06/2024 00:00 High CPU Usage Restart impacted services BankingApp Medium Inefficient code (infinite loops, unoptimized queries) Code Fix Closed"
ALERT-44901,InventoryService,28/05/2024 00:00,Delayed Response Time,High,High server load,Optimize DB queries,23,110,Yes,Automated System,Database Indexing,Partially Fixed,28/05/2024 00:00 Delayed Response Time Optimize DB queries InventoryService High High server load Database Indexing Partially Fixed
ALERT-25109,InventoryService,25/04/2024 00:00,Delayed Response Time,High,Backend service delays,Implement caching mechanisms,23,114,No,Infrastructure Team,Code Fix,Partially Fixed,25/04/2024 00:00 Delayed Response Time Implement caching mechanisms InventoryService High Backend service delays Code Fix Partially Fixed
ALERT-16936,InsuranceApp,07/07/2024 00:00,Memory Leak Detected,High,High number of background processes,Fix memory leaks in code,18,115,No,Support Engineer,,Reoccurred,07/07/2024 00:00 Memory Leak Detected Fix memory leaks in code InsuranceApp High High number of background processes  Reoccurred
ALERT-78094,InsuranceApp,09/12/2024 00:00,API Failure - 500 Error Surge,High,High API traffic exceeding rate limits,Restart failing microservices,12,36,No,Automated System,,Resolved,09/12/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InsuranceApp High High API traffic exceeding rate limits  Resolved
ALERT-36553,LoanProcessing,29/04/2024 00:00,Service Unavailability,Critical,Deployment issues breaking services,Restart service automatically,11,32,Yes,Automated System,Network Rerouting,Partially Fixed,29/04/2024 00:00 Service Unavailability Restart service automatically LoanProcessing Critical Deployment issues breaking services Network Rerouting Partially Fixed
ALERT-91918,LoanProcessing,02/04/2024 00:00,Service Unavailability,High,Deployment issues breaking services,Rollback recent deployments,23,38,Yes,Automated System,Infrastructure Scaling,Reoccurred,02/04/2024 00:00 Service Unavailability Rollback recent deployments LoanProcessing High Deployment issues breaking services Infrastructure Scaling Reoccurred
ALERT-19230,InventoryService,21/11/2024 00:00,Database Performance Issues,Critical,Indexing issues,Scale database resources,20,29,Yes,Infrastructure Team,Database Indexing,Reoccurred,21/11/2024 00:00 Database Performance Issues Scale database resources InventoryService Critical Indexing issues Database Indexing Reoccurred
ALERT-25257,InventoryService,27/03/2025 00:00,Database Performance Issues,Critical,High DB connections,Scale database resources,11,108,No,Automated System,Infrastructure Scaling,Monitoring,27/03/2025 00:00 Database Performance Issues Scale database resources InventoryService Critical High DB connections Infrastructure Scaling Monitoring
ALERT-25574,NotificationService,12/08/2024 00:00,Service Unavailability,High,Network connectivity issues,Investigate network issues,6,76,Yes,Support Engineer,Network Rerouting,Resolved,12/08/2024 00:00 Service Unavailability Investigate network issues NotificationService High Network connectivity issues Network Rerouting Resolved
ALERT-29485,InventoryService,14/05/2024 00:00,Delayed Response Time,High,High server load,Implement caching mechanisms,5,95,Yes,Support Engineer,Database Indexing,Resolved,14/05/2024 00:00 Delayed Response Time Implement caching mechanisms InventoryService High High server load Database Indexing Resolved
ALERT-27804,PaymentGateway,16/01/2025 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Fix memory leaks in code,1,24,No,Support Engineer,Code Fix,Resolved,16/01/2025 00:00 Memory Leak Detected Fix memory leaks in code PaymentGateway Critical Unreleased objects in application code Code Fix Resolved
ALERT-56977,InventoryService,15/03/2025 00:00,Database Performance Issues,High,High DB connections,Kill long-running queries,23,29,Yes,Automated System,,Closed,15/03/2025 00:00 Database Performance Issues Kill long-running queries InventoryService High High DB connections  Closed
ALERT-86923,NotificationService,16/02/2025 00:00,Delayed Response Time,High,Slow database queries,Scale application infrastructure,19,86,No,Infrastructure Team,Code Fix,Monitoring,16/02/2025 00:00 Delayed Response Time Scale application infrastructure NotificationService High Slow database queries Code Fix Monitoring
ALERT-88863,InsuranceApp,20/03/2025 00:00,Service Unavailability,High,Network connectivity issues,Investigate network issues,5,89,No,Infrastructure Team,Database Indexing,Monitoring,20/03/2025 00:00 Service Unavailability Investigate network issues InsuranceApp High Network connectivity issues Database Indexing Monitoring
ALERT-33101,InsuranceApp,18/02/2025 00:00,Delayed Response Time,Medium,High server load,Scale application infrastructure,13,85,Yes,Infrastructure Team,Infrastructure Scaling,Closed,18/02/2025 00:00 Delayed Response Time Scale application infrastructure InsuranceApp Medium High server load Infrastructure Scaling Closed
ALERT-90218,PaymentGateway,13/06/2024 00:00,Delayed Response Time,Medium,High server load,Implement caching mechanisms,18,46,No,Automated System,Code Fix,Closed,13/06/2024 00:00 Delayed Response Time Implement caching mechanisms PaymentGateway Medium High server load Code Fix Closed
ALERT-89287,BankingApp,17/02/2025 00:00,High CPU Usage,Critical,"Inefficient code (infinite loops, unoptimized queries)",Optimize queries and code,15,84,No,Support Engineer,Code Fix,Resolved,"17/02/2025 00:00 High CPU Usage Optimize queries and code BankingApp Critical Inefficient code (infinite loops, unoptimized queries) Code Fix Resolved"
ALERT-54757,LoanProcessing,07/10/2024 00:00,Service Unavailability,High,Server crash or unexpected shutdown,Investigate network issues,5,91,Yes,Support Engineer,Network Rerouting,Partially Fixed,07/10/2024 00:00 Service Unavailability Investigate network issues LoanProcessing High Server crash or unexpected shutdown Network Rerouting Partially Fixed
ALERT-97293,PaymentGateway,07/10/2024 00:00,Memory Leak Detected,High,High number of background processes,Improve memory management,21,99,No,Automated System,Network Rerouting,Partially Fixed,07/10/2024 00:00 Memory Leak Detected Improve memory management PaymentGateway High High number of background processes Network Rerouting Partially Fixed
ALERT-35789,InventoryService,22/05/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,1,68,Yes,Support Engineer,Infrastructure Scaling,Monitoring,22/05/2024 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService Critical Service down Infrastructure Scaling Monitoring
ALERT-59095,InventoryService,06/10/2024 00:00,Delayed Response Time,Medium,Network congestion,Optimize DB queries,11,112,Yes,Infrastructure Team,Database Indexing,Partially Fixed,06/10/2024 00:00 Delayed Response Time Optimize DB queries InventoryService Medium Network congestion Database Indexing Partially Fixed
ALERT-69369,PaymentGateway,18/04/2024 00:00,Database Performance Issues,High,Unoptimized SQL Queries,Scale database resources,6,32,No,Support Engineer,,Resolved,18/04/2024 00:00 Database Performance Issues Scale database resources PaymentGateway High Unoptimized SQL Queries  Resolved
ALERT-66046,PaymentGateway,23/11/2024 00:00,Memory Leak Detected,High,Unreleased objects in application code,Fix memory leaks in code,10,33,No,Support Engineer,Network Rerouting,Partially Fixed,23/11/2024 00:00 Memory Leak Detected Fix memory leaks in code PaymentGateway High Unreleased objects in application code Network Rerouting Partially Fixed
ALERT-15605,PaymentGateway,29/12/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,6,42,Yes,Automated System,Database Indexing,Closed,29/12/2024 00:00 API Failure - 500 Error Surge Scale up backend services PaymentGateway Critical Service down Database Indexing Closed
ALERT-78365,NotificationService,04/12/2024 00:00,Memory Leak Detected,Medium,Unreleased objects in application code,Restart affected services,17,33,Yes,Infrastructure Team,Infrastructure Scaling,Closed,04/12/2024 00:00 Memory Leak Detected Restart affected services NotificationService Medium Unreleased objects in application code Infrastructure Scaling Closed
ALERT-72709,InsuranceApp,11/01/2025 00:00,Service Unavailability,High,Deployment issues breaking services,Rollback recent deployments,12,40,Yes,Infrastructure Team,Database Indexing,Reoccurred,11/01/2025 00:00 Service Unavailability Rollback recent deployments InsuranceApp High Deployment issues breaking services Database Indexing Reoccurred
ALERT-72130,NotificationService,08/08/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Fix memory leaks in code,17,38,Yes,Automated System,Infrastructure Scaling,Monitoring,08/08/2024 00:00 Memory Leak Detected Fix memory leaks in code NotificationService Critical High number of background processes Infrastructure Scaling Monitoring
ALERT-58369,BankingApp,05/10/2024 00:00,High CPU Usage,Critical,Memory leaks,Optimize queries and code,8,29,No,Automated System,Infrastructure Scaling,Reoccurred,05/10/2024 00:00 High CPU Usage Optimize queries and code BankingApp Critical Memory leaks Infrastructure Scaling Reoccurred
ALERT-35194,InsuranceApp,21/03/2025 00:00,High CPU Usage,Critical,"Inefficient code (infinite loops, unoptimized queries)",Restart impacted services,2,73,No,Support Engineer,Code Fix,Reoccurred,"21/03/2025 00:00 High CPU Usage Restart impacted services InsuranceApp Critical Inefficient code (infinite loops, unoptimized queries) Code Fix Reoccurred"
ALERT-70513,InsuranceApp,31/12/2024 00:00,Service Unavailability,Critical,Deployment issues breaking services,Restart service automatically,8,87,Yes,Support Engineer,Infrastructure Scaling,Reoccurred,31/12/2024 00:00 Service Unavailability Restart service automatically InsuranceApp Critical Deployment issues breaking services Infrastructure Scaling Reoccurred
ALERT-72459,BankingApp,25/12/2024 00:00,Database Performance Issues,High,Indexing issues,Optimize queries and add indexing,15,22,No,Automated System,Infrastructure Scaling,Partially Fixed,25/12/2024 00:00 Database Performance Issues Optimize queries and add indexing BankingApp High Indexing issues Infrastructure Scaling Partially Fixed
ALERT-57546,NotificationService,05/10/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Restart failing microservices,21,20,No,Automated System,Network Rerouting,Monitoring,05/10/2024 00:00 API Failure - 500 Error Surge Restart failing microservices NotificationService Critical High API traffic exceeding rate limits Network Rerouting Monitoring
ALERT-35040,NotificationService,25/06/2024 00:00,Memory Leak Detected,Critical,Unreleased objects in application code,Fix memory leaks in code,19,97,No,Automated System,Infrastructure Scaling,Reoccurred,25/06/2024 00:00 Memory Leak Detected Fix memory leaks in code NotificationService Critical Unreleased objects in application code Infrastructure Scaling Reoccurred
ALERT-52268,InventoryService,01/05/2024 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,24,61,No,Infrastructure Team,Infrastructure Scaling,Reoccurred,01/05/2024 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService Critical Service down Infrastructure Scaling Reoccurred
ALERT-95260,LoanProcessing,13/06/2024 00:00,Database Performance Issues,High,Indexing issues,Kill long-running queries,15,84,Yes,Infrastructure Team,,Partially Fixed,13/06/2024 00:00 Database Performance Issues Kill long-running queries LoanProcessing High Indexing issues  Partially Fixed
ALERT-87266,InsuranceApp,24/10/2024 00:00,Database Performance Issues,High,High DB connections,Optimize queries and add indexing,19,52,No,Automated System,Infrastructure Scaling,Reoccurred,24/10/2024 00:00 Database Performance Issues Optimize queries and add indexing InsuranceApp High High DB connections Infrastructure Scaling Reoccurred
ALERT-86016,PaymentGateway,11/06/2024 00:00,Database Performance Issues,High,High DB connections,Scale database resources,2,65,Yes,Automated System,Code Fix,Closed,11/06/2024 00:00 Database Performance Issues Scale database resources PaymentGateway High High DB connections Code Fix Closed
ALERT-36897,LoanProcessing,19/04/2024 00:00,Delayed Response Time,Medium,Slow database queries,Scale application infrastructure,14,54,No,Support Engineer,Code Fix,Closed,19/04/2024 00:00 Delayed Response Time Scale application infrastructure LoanProcessing Medium Slow database queries Code Fix Closed
ALERT-82546,LoanProcessing,26/05/2024 00:00,Database Performance Issues,High,High DB connections,Optimize queries and add indexing,8,83,Yes,Support Engineer,Infrastructure Scaling,Closed,26/05/2024 00:00 Database Performance Issues Optimize queries and add indexing LoanProcessing High High DB connections Infrastructure Scaling Closed
ALERT-45250,BankingApp,10/09/2024 00:00,Delayed Response Time,High,High server load,Implement caching mechanisms,4,42,Yes,Automated System,Infrastructure Scaling,Resolved,10/09/2024 00:00 Delayed Response Time Implement caching mechanisms BankingApp High High server load Infrastructure Scaling Resolved
ALERT-66895,InsuranceApp,20/12/2024 00:00,Database Performance Issues,Critical,Indexing issues,Optimize queries and add indexing,3,59,No,Infrastructure Team,Network Rerouting,Closed,20/12/2024 00:00 Database Performance Issues Optimize queries and add indexing InsuranceApp Critical Indexing issues Network Rerouting Closed
ALERT-20388,LoanProcessing,11/10/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Fix memory leaks in code,7,42,Yes,Automated System,,Reoccurred,11/10/2024 00:00 Memory Leak Detected Fix memory leaks in code LoanProcessing Critical High number of background processes  Reoccurred
ALERT-27184,BankingApp,18/01/2025 00:00,High CPU Usage,High,Unexpected traffic spike,Optimize queries and code,16,44,No,Support Engineer,Code Fix,Monitoring,18/01/2025 00:00 High CPU Usage Optimize queries and code BankingApp High Unexpected traffic spike Code Fix Monitoring
ALERT-18589,LoanProcessing,28/06/2024 00:00,Database Performance Issues,High,High DB connections,Optimize queries and add indexing,18,54,No,Infrastructure Team,Infrastructure Scaling,Partially Fixed,28/06/2024 00:00 Database Performance Issues Optimize queries and add indexing LoanProcessing High High DB connections Infrastructure Scaling Partially Fixed
ALERT-62957,InventoryService,16/03/2025 00:00,API Failure - 500 Error Surge,Critical,Service down,Scale up backend services,21,22,No,Automated System,Infrastructure Scaling,Reoccurred,16/03/2025 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService Critical Service down Infrastructure Scaling Reoccurred
ALERT-59218,NotificationService,04/03/2025 00:00,Service Unavailability,High,Server crash or unexpected shutdown,Rollback recent deployments,13,62,Yes,Automated System,Network Rerouting,Reoccurred,04/03/2025 00:00 Service Unavailability Rollback recent deployments NotificationService High Server crash or unexpected shutdown Network Rerouting Reoccurred
ALERT-19269,InsuranceApp,27/10/2024 00:00,Service Unavailability,High,Server crash or unexpected shutdown,Restart service automatically,21,92,Yes,Automated System,Code Fix,Monitoring,27/10/2024 00:00 Service Unavailability Restart service automatically InsuranceApp High Server crash or unexpected shutdown Code Fix Monitoring
ALERT-79709,PaymentGateway,27/07/2024 00:00,API Failure - 500 Error Surge,High,Service down,Restart failing microservices,13,106,No,Automated System,Infrastructure Scaling,Reoccurred,27/07/2024 00:00 API Failure - 500 Error Surge Restart failing microservices PaymentGateway High Service down Infrastructure Scaling Reoccurred
ALERT-56860,PaymentGateway,11/09/2024 00:00,Delayed Response Time,High,Backend service delays,Implement caching mechanisms,21,76,Yes,Support Engineer,Database Indexing,Monitoring,11/09/2024 00:00 Delayed Response Time Implement caching mechanisms PaymentGateway High Backend service delays Database Indexing Monitoring
ALERT-28994,PaymentGateway,23/06/2024 00:00,Memory Leak Detected,Critical,High number of background processes,Improve memory management,23,107,Yes,Support Engineer,Infrastructure Scaling,Monitoring,23/06/2024 00:00 Memory Leak Detected Improve memory management PaymentGateway Critical High number of background processes Infrastructure Scaling Monitoring
ALERT-75312,InventoryService,03/05/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Restart failing microservices,6,42,Yes,Support Engineer,,Closed,03/05/2024 00:00 API Failure - 500 Error Surge Restart failing microservices InventoryService Critical High API traffic exceeding rate limits  Closed
ALERT-32888,InventoryService,05/07/2024 00:00,API Failure - 500 Error Surge,Critical,High API traffic exceeding rate limits,Scale up backend services,10,77,Yes,Infrastructure Team,Infrastructure Scaling,Partially Fixed,05/07/2024 00:00 API Failure - 500 Error Surge Scale up backend services InventoryService Critical High API traffic exceeding rate limits Infrastructure Scaling Partially Fixed
ALERT-35582,InventoryService,09/08/2024 00:00,Database Performance Issues,Critical,Unoptimized SQL Queries,Kill long-running queries,12,72,No,Automated System,Code Fix,Resolved,09/08/2024 00:00 Database Performance Issues Kill long-running queries InventoryService Critical Unoptimized SQL Queries Code Fix Resolved
ALERT-43712,BankingApp,01/07/2024 00:00,High CPU Usage,High,"Inefficient code (infinite loops, unoptimized queries)",Auto-scale infrastructure,16,83,Yes,Infrastructure Team,Infrastructure Scaling,Monitoring,"01/07/2024 00:00 High CPU Usage Auto-scale infrastructure BankingApp High Inefficient code (infinite loops, unoptimized queries) Infrastructure Scaling Monitoring"
ALERT-36648,InsuranceApp,23/07/2024 00:00,Database Performance Issues,Critical,Indexing issues,Scale database resources,5,34,No,Automated System,Database Indexing,Monitoring,23/07/2024 00:00 Database Performance Issues Scale database resources InsuranceApp Critical Indexing issues Database Indexing Monitoring
ALERT-78572,LoanProcessing,08/01/2025 00:00,High CPU Usage,High,Unexpected traffic spike,Optimize queries and code,14,40,No,Support Engineer,Code Fix,Reoccurred,08/01/2025 00:00 High CPU Usage Optimize queries and code LoanProcessing High Unexpected traffic spike Code Fix Reoccurred
